------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:10:37 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 45
decoder.pkts                                  | Total                     | 46
decoder.bytes                                 | Total                     | 7367
decoder.ipv4                                  | Total                     | 11
decoder.ipv6                                  | Total                     | 29
decoder.ethernet                              | Total                     | 46
decoder.udp                                   | Total                     | 29
decoder.icmpv6                                | Total                     | 11
decoder.avg_pkt_size                          | Total                     | 160
decoder.max_pkt_size                          | Total                     | 239
flow.udp                                      | Total                     | 3
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9900
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 45
decoder.pkts                                  | W#01-eth0                 | 46
decoder.bytes                                 | W#01-eth0                 | 7367
decoder.ipv4                                  | W#01-eth0                 | 11
decoder.ipv6                                  | W#01-eth0                 | 29
decoder.ethernet                              | W#01-eth0                 | 46
decoder.udp                                   | W#01-eth0                 | 29
decoder.icmpv6                                | W#01-eth0                 | 11
decoder.avg_pkt_size                          | W#01-eth0                 | 160
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.udp                                      | W#01-eth0                 | 3
flow.icmpv6                                   | W#01-eth0                 | 4
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
app_layer.flow.failed_udp                     | W#01-eth0                 | 3
flow.mgr.full_hash_pass                       | FM#01                     | 1
flow.spare                                    | FM#01                     | 9900
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 1
flow.mgr.flows_notimeout                      | FM#01                     | 1
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:10:45 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 50
decoder.pkts                                  | Total                     | 50
decoder.bytes                                 | Total                     | 8026
decoder.ipv4                                  | Total                     | 12
decoder.ipv6                                  | Total                     | 32
decoder.ethernet                              | Total                     | 50
decoder.udp                                   | Total                     | 32
decoder.icmpv6                                | Total                     | 12
decoder.avg_pkt_size                          | Total                     | 160
decoder.max_pkt_size                          | Total                     | 239
flow.udp                                      | Total                     | 3
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9900
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 2
flow.mgr.flows_notimeout                      | Total                     | 2
tcp.memuse                                    | Total                     | 606208
tcp.reassembly_memuse                         | Total                     | 98304
flow.memuse                                   | Total                     | 7474304
capture.kernel_packets                        | W#01-eth0                 | 50
decoder.pkts                                  | W#01-eth0                 | 50
decoder.bytes                                 | W#01-eth0                 | 8026
decoder.ipv4                                  | W#01-eth0                 | 12
decoder.ipv6                                  | W#01-eth0                 | 32
decoder.ethernet                              | W#01-eth0                 | 50
decoder.udp                                   | W#01-eth0                 | 32
decoder.icmpv6                                | W#01-eth0                 | 12
decoder.avg_pkt_size                          | W#01-eth0                 | 160
decoder.max_pkt_size                          | W#01-eth0                 | 239
flow.udp                                      | W#01-eth0                 | 3
flow.icmpv6                                   | W#01-eth0                 | 4
flow.wrk.spare_sync_avg                       | W#01-eth0                 | 100
flow.wrk.spare_sync                           | W#01-eth0                 | 1
decoder.event.ipv6.zero_len_padn              | W#01-eth0                 | 9
app_layer.flow.failed_udp                     | W#01-eth0                 | 3
flow.mgr.full_hash_pass                       | FM#01                     | 1
flow.spare                                    | FM#01                     | 9900
flow.mgr.rows_maxlen                          | FM#01                     | 1
flow.mgr.flows_checked                        | FM#01                     | 2
flow.mgr.flows_notimeout                      | FM#01                     | 2
tcp.memuse                                    | Global                    | 606208
tcp.reassembly_memuse                         | Global                    | 98304
flow.memuse                                   | Global                    | 7474304
------------------------------------------------------------------------------------
Date: 2/9/2026 -- 21:10:53 (uptime: 0d, 00h 00m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 53
decoder.pkts                                  | Total                     | 53
decoder.bytes                                 | Total                     | 8480
decoder.ipv4                                  | Total                     | 12
decoder.ipv6                                  | Total                     | 34
decoder.ethernet                              | Total                     | 53
decoder.udp                                   | Total                     | 34
decoder.icmpv6                                | Total                     | 12
decoder.avg_pkt_size                          | Total                     | 160
decoder.max_pkt_size                          | Total                     | 239
flow.udp                                      | Total                     | 3
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 9
app_layer.flow.failed_udp                     | Total                     | 3
flow.mgr.full_hash_pass                       | Total                     | 1
flow.spare                                    | Total                     | 9900
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 3
flow.mgr.flows_notimeout                      | Total                     | 3
